Generation,BestFitness,AverageFitness,WorstFitness,FitnessRange,NetworkComplexity,DiversityIndex,LearningRate,SuccessRate,JumpEfficiency
400,65.94276,19.60576,0,65.94276,134.7,23.71988,-15.04076,1,0.4443292
405,59.90038,21.66091,0,59.90038,134.7,29.83666,-6.042381,1,0.640553
410,70.82988,20.96554,0,70.82988,133.9,32.62654,10.9295,1,0.7281278
415,49.1306,22.47544,0,49.1306,135.3,18.61947,-21.69928,1,0.8415986
420,77.78182,22.03218,0,77.78182,135.2,35.18728,28.65122,1,0.4892961
425,53.63169,22.7731,0,53.63169,135.4,20.01352,-24.15013,1,0.7565415
430,85.12361,15.64224,0,85.12361,134.6,36.41321,31.49192,1,0.4103529
435,56.18176,21.35628,0,56.18176,135.8,23.23099,-28.94186,1,0.7484879
440,85.83596,20.81505,0,85.83596,135.8,30.18852,29.65421,1,0.6035255
445,45.71697,19.5626,0,45.71697,135.5,18.52212,-40.11899,1,0.679493
450,47.01583,18.79523,0,47.01583,135.3,19.99857,1.298862,1,0.8637648
455,52.9262,18.82987,0,52.9262,135,23.20944,5.91037,1,0.3403098
460,68.94883,23.2144,0,68.94883,135.8,30.82605,16.02262,1,0.6953631
465,56.12097,19.117,0,56.12097,135,27.51421,-12.82786,1,0.8121266
470,84.57862,22.39552,0,84.57862,135,34.64796,28.45765,1,0.6763743
475,46.05571,17.75735,0,46.05571,135.3,21.66603,-38.52291,1,0.5818884
480,122.9585,22.85248,0,122.9585,134.4,40.95579,76.90283,1,0.8705599
485,51.22449,17.98613,0,51.22449,135.2,21.81788,-71.73405,1,0.6403992
490,84.36002,18.85071,0,84.36002,134.5,36.27907,33.13554,1,0.4412536
495,49.43043,14.65582,0,49.43043,135.4,25.04181,-34.9296,1,0.4795651
500,96.79176,16.62364,0,96.79176,135.3,45.42321,47.36134,1,0.8307307
505,52.99994,17.91883,0,52.99994,135,21.72972,-43.79183,1,0.8561968
510,99.54297,19.49341,0,99.54297,134.4,30.03567,46.54303,1,0.5072379
515,64.51563,18.5249,0,64.51563,134.9,26.87396,-35.02734,1,0.8626109
520,56.63036,23.44345,0,56.63036,135.2,24.25567,-7.885269,1,0.4398701
525,53.19677,16.94794,0,53.19677,134.4,26.03994,-3.43359,1,0.333637
530,40.73596,18.13349,0,40.73596,135,15.36722,-12.46081,1,0.6944368
535,101.4091,25.64265,0,101.4091,135,39.61932,60.67313,1,0.79715
540,96.82898,14.4926,0,96.82898,134.6,32.19154,-4.580109,1,0.6505381
545,88.32971,19.13777,0,88.32971,135.4,39.60995,-8.499268,1,0.5049559
